order,class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
55,4,0,-0.01958624,-0.04202718,-0.06608542,-0.08904002,-0.11053374,-0.13032886,-0.14803396,-0.1636326,-0.17765504,0,-0.00904658,-0.01912712,-0.0297448,-0.03790104,-0.0424164,-0.04393824,-0.04282838,-0.03922204,-0.0359162
56,0,0,-0.01302206,-0.03136104,-0.052218,-0.0711464,-0.0858171,-0.09592448,-0.1022752,-0.106042,-0.1091412,0,-0.0130633,-0.0305785,-0.04964904,-0.0652585,-0.0757853,-0.08198548,-0.08479018,-0.08504362,-0.08472816
57,4,0,-0.00765158,-0.01483312,-0.02390288,-0.03540572,-0.04795848,-0.06181742,-0.07441578,-0.084889,-0.09264002,0,-0.01497224,-0.02749316,-0.03831384,-0.04486364,-0.04861764,-0.05260028,-0.05703478,-0.06214686,-0.07015858
58,0,0,0.00175406,0.0048617,0.0080844,0.0091406,0.0073494,0.00371272,0.00117574,0.00175378,0.00687876,0,-0.01106854,-0.01810678,-0.02114624,-0.0228172,-0.02492156,-0.02789064,-0.03087816,-0.0320405,-0.02893856
59,3,0,-0.0046725,-0.01351168,-0.0253046,-0.03998832,-0.0560908,-0.0712058,-0.08285934,-0.0888703,-0.0885139,0,-0.00231988,-0.01234878,-0.02791976,-0.04507376,-0.06115304,-0.07238908,-0.0768232,-0.07313898,-0.06417014
60,1,0,-0.02006666,-0.03694234,-0.04811954,-0.0552315,-0.0625307,-0.0739896,-0.09022276,-0.10909426,-0.12879738,0,-0.03295092,-0.06064048,-0.08004316,-0.09218558,-0.09958758,-0.1088953,-0.11916866,-0.12885138,-0.13814516
61,2,0,-0.0198649,-0.04316152,-0.06532624,-0.08087276,-0.08835392,-0.087094,-0.0823086,-0.07700048,-0.07347874,0,-0.0160043,-0.04334722,-0.07466696,-0.0959288,-0.10258184,-0.09489402,-0.0778596,-0.0568427,-0.04114542
62,1,0,-0.0114165,-0.0297272,-0.0513728,-0.06607384,-0.07171144,-0.07253748,-0.06838172,-0.0614192,-0.05507266,0,-0.02000824,-0.04138192,-0.06026428,-0.07005714,-0.07095436,-0.0673891,-0.06282404,-0.05995318,-0.06163294
63,4,0,-0.03638238,-0.0645237,-0.08195526,-0.09253346,-0.1033263,-0.11623122,-0.13201738,-0.15034202,-0.1678346,0,-0.0341368,-0.05595168,-0.06269514,-0.06006456,-0.06165482,-0.07258704,-0.09413426,-0.12588648,-0.16200468
64,0,0,-0.00274422,-0.00295154,-9.78E-05,0.00948342,0.02565474,0.04512556,0.06466786,0.08226924,0.09632666,0,-0.010711,-0.0214603,-0.03027448,-0.03273916,-0.02797192,-0.01648806,0.00011158,0.0173753,0.0330543
65,0,0,-0.02123864,-0.03643852,-0.04045286,-0.03385324,-0.01896704,-0.00182056,0.01537524,0.03069726,0.04581662,0,-0.02732758,-0.05244902,-0.07068196,-0.08155472,-0.08699242,-0.09055798,-0.09195802,-0.09200482,-0.08892134
66,3,0,0.01836302,0.04115106,0.06667892,0.09302578,0.12160224,0.15090708,0.17739156,0.20051456,0.22184232,0,0.01576852,0.03572242,0.05687844,0.077836,0.10027734,0.12234292,0.14199774,0.1621464,0.18631872
67,0,0,0.0098253,0.01963522,0.0278712,0.03398516,0.03663,0.0365985,0.0345094,0.03083402,0.02764098,0,0.0035541,0.00274214,-0.003147,-0.01288546,-0.02511108,-0.0385176,-0.05037296,-0.05646214,-0.05416772
68,3,0,-0.02095916,-0.03188012,-0.03394396,-0.02990108,-0.02414592,-0.020865,-0.02253664,-0.03096536,-0.04546344,0,-0.01545598,-0.02217266,-0.02212166,-0.0178883,-0.01479696,-0.01541604,-0.02048012,-0.03412232,-0.0578502
69,1,0,0.02353692,0.0437203,0.05946088,0.06968122,0.07150216,0.06453654,0.04722766,0.02354796,-0.00594286,0,0.02100564,0.04128668,0.05692536,0.0664909,0.06838328,0.06273044,0.04899832,0.03359282,0.01672062
70,4,0,0.00586864,0.01021042,0.01228036,0.01147764,0.008473,0.00255976,-0.00721412,-0.01989786,-0.0333724,0,0.00126692,0.00369466,0.00296228,-0.00448856,-0.01473506,-0.02678402,-0.04195828,-0.05544004,-0.06090828
71,2,0,-0.00930006,-0.02319674,-0.03808046,-0.05127526,-0.06295968,-0.07287626,-0.0805536,-0.08630002,-0.09289902,0,-0.00781098,-0.01594984,-0.02276108,-0.02804216,-0.03424498,-0.04076508,-0.04775508,-0.05654226,-0.06894116
72,4,0,0.01290234,0.03191478,0.0535452,0.07159704,0.081545,0.08094996,0.06938808,0.05164886,0.03344414,0,0.0088179,0.02386392,0.0418906,0.05781754,0.06797402,0.06859208,0.05857892,0.04379414,0.02959458
73,0,0,0.00565006,0.00654596,0.00043032,-0.01494032,-0.03955438,-0.0716666,-0.10317242,-0.12564482,-0.13497876,0,0.01312296,0.02096984,0.0232855,0.0169512,0.0022729,-0.01846756,-0.03883466,-0.05210104,-0.0530163
74,2,0,0.00032004,0.00248044,0.00584138,0.00954142,0.01357132,0.01785518,0.0224274,0.02519204,0.02476154,0,0.00533434,0.00694262,0.00297042,-0.0066184,-0.0177568,-0.02544074,-0.0260658,-0.01994878,-0.00959484
75,0,0,0.01327546,0.02431358,0.03082282,0.03368176,0.03311738,0.02968844,0.02527566,0.02065272,0.01406006,0,0.00883468,0.0152557,0.02148572,0.02746188,0.03148498,0.03350088,0.03457158,0.03245626,0.02574078
76,4,0,-0.01392336,-0.03100034,-0.05192758,-0.07486656,-0.09800316,-0.1189872,-0.13598704,-0.1486088,-0.15723904,0,-0.00884658,-0.01818716,-0.02911672,-0.0413058,-0.05386516,-0.0660763,-0.07663612,-0.08576312,-0.09348278
77,2,0,-0.01007646,-0.01655106,-0.01910744,-0.01734762,-0.01169718,-0.00519002,-0.00222366,-0.00424368,-0.01187794,0,-0.00529178,-0.00777176,-0.00931718,-0.00967608,-0.00964666,-0.00977228,-0.01101556,-0.01209162,-0.01463694
78,2,0,0.00339422,0.01020174,0.01527812,0.01701176,0.01273596,-0.00034438,-0.02098068,-0.044153,-0.06672756,0,0.00398426,0.00575416,0.00241474,-0.00559038,-0.01982636,-0.04115376,-0.06646922,-0.0921123,-0.11712368
79,0,0,-0.01566318,-0.02118186,-0.01785764,-0.00837334,0.00322158,0.0141596,0.02294614,0.03121952,0.03961244,0,-0.01599614,-0.02898846,-0.03754058,-0.04031944,-0.03898556,-0.03342206,-0.02457768,-0.01230328,0.00221486
80,4,0,-0.0373775,-0.05963022,-0.0698521,-0.0703345,-0.06729954,-0.06537124,-0.0645952,-0.06195084,-0.05787812,0,-0.0286737,-0.0474877,-0.05780028,-0.06159924,-0.0638554,-0.06719042,-0.07227894,-0.0775916,-0.0813181
81,0,0,-0.02085982,-0.03331008,-0.03620088,-0.03615168,-0.03482288,-0.03459186,-0.03574892,-0.03902682,-0.04388648,0,-0.02371032,-0.04665012,-0.06567858,-0.0820115,-0.0946295,-0.10232492,-0.10451196,-0.1026882,-0.09840676
82,3,0,0.00235194,0.00328794,0.00490742,0.0083565,0.01567238,0.02548556,0.03398688,0.03810978,0.035401,0,0.0121912,0.01900386,0.02177284,0.01972476,0.01446174,0.00816664,0.00215626,-0.00371128,-0.0076692
83,1,0,-0.00494564,-0.0078959,-0.00752858,-0.00429982,-0.00042176,-0.00238636,-0.01139602,-0.02625456,-0.0443333,0,-0.00674754,-0.01305438,-0.01919338,-0.02559168,-0.03231178,-0.04223808,-0.05384952,-0.06447432,-0.07318622
